Item type,Authors,Title,Date published
Journal Article,"Hoshi T,Ogita T,Ozaki K,Terao T",An a posteriori verification method for generalized real-symmetric eigenvalue problems in large-scale electronic state calculations,2020
Journal Article,Huang R,Accurate eigenvalues of some generalized sign regular matrices via relatively robust representations,2020
Journal Article,Miminis G,The feedback search algorithm: estimating the distance of semi-explicit systems to $\Cal R$-uncontrollability,2020
Journal Article,"Concas A,Noschese S,Reichel L,Rodriguez G",A spectral method for bipartizing a network and detecting a large anti-community,2020
Journal Article,"Buccini A,Pasha M,Reichel L",Generalized singular value decomposition with iterated Tikhonov regularization,2020
Journal Article,"Camps D,Mastronardi N,Vandebril R,Van Dooren P",Swapping $2\times 2$ blocks in the Schur and generalized Schur form,2020
Journal Article,"Cicone A,Dell'Acqua P",Study of boundary conditions in the iterative filtering method for the decomposition of nonstationary signals,2020
Journal Article,Miao CQ,Computing eigenpairs of Hermitian matrices in augmented Krylov subspace produced by Rayleigh quotient iterations,2020
Journal Article,"Zhao X,Dong B,Yu B",Unfoldings and the rank-one approximation of the tensor,2020
Journal Article,"Shiroma K,Yamamoto Y",Fixed-point analysis of Ogita-Aishima's symmetric eigendecomposition refinement algorithm for multiple eigenvalues,2020
Journal Article,Lee G,An efficient algorithm for sliding window based incremental principal components analysis,2020
Journal Article,"Li JF,Li W,Vong SW,Luo QL,Xiao M",A Riemannian optimization approach for solving the generalized eigenvalue problem for nonsquare matrix pencils,2020
Journal Article,"Kelley CT,Bernholc J,Briggs EL,Hamilton S,Lin L,Yang C",Mesh independence of the generalized Davidson algorithm,2020
Journal Article,Da Fonseca CM,Comments on the spectrum of a tridiagonal $k$-Toeplitz matrix,2020
Journal Article,"Barbarino G,Garoni C,Serra-Capizzano S",Block generalized locally Toeplitz sequences: theory and applications in the multidimensional case,2020
Journal Article,"Barbarino G,Garoni C,Serra-Capizzano S",Block generalized locally Toeplitz sequences: theory and applications in the unidimensional case,2020
Journal Article,"Cipolla S,Redivo-Zaglia M,Tudisco F",Shifted and extrapolated power methods for tensor $\ell ^P$-eigenpairs,2020
Journal Article,"Jawecki T,Auzinger W,Koch O",Computable upper error bounds for Krylov approximations to matrix exponentials and associated $\varphi $-functions,2020
Journal Article,"Cai YF,Jia Z,Bai ZJ",Perturbation analysis of an eigenvector-dependent nonlinear eigenvalue problem with applications,2020
Journal Article,"Minster R,Saibaba AK,Kilmer ME",Randomized algorithms for low-rank tensor decompositions in the Tucker format,2020
Journal Article,"Fukaya T,Kannan R,Nakatsukasa Y,Yamamoto Y,Yanagisawa Y",Shifted Cholesky QR for computing the QR factorization of ill-conditioned matrices,2020
Journal Article,Kalantzis V,A spectral Newton-Schur algorithm for the solution of symmetric generalized eigenvalue problems,2020
Journal Article,"Archid A,Bentbib AH,Agoujil S",A block $J$-Lanczos method for Hamiltonian matrices,2020
Journal Article,"Wang QW,Wang XX",Arnoldi method for large quaternion right eigenvalue problem,2020
Journal Article,"Boulsane M,Bourguiba N,Karoui A",Discrete prolate spheroidal wave functions: further spectral analysis and some related applications,2020
Journal Article,Garg NK,A class of upwind methods based on generalized eigenvectors for weakly hyperbolic systems,2020
Journal Article,De Teran F,Backward error and conditioning of Fiedler companion linearizations,2020
Journal Article,"Takahira S,Ohashi A,Sogabe T,Usuda TS",Quantum algorithm for matrix functions by Cauchy's integral formula,2020
Journal Article,"Royer CW,O'Neill M,Wright SJ",A Newton-CG algorithm with complexity guarantees for smooth unconstrained optimization,2020
Journal Article,"Aristodemo A,Gemignani L",Accelerating the Sinkhorn-Knopp iteration by Arnoldi-type methods,2020
Journal Article,"Aliyev N,Mehrmann V,Mengi E",Approximation of stability radii for large-scale dissipative Hamiltonian systems,2020
Journal Article,"Sawa K,Nakamura Y",Extension of the Lanczos-Phillips algorithm with Laurent biorthogonal polynomials and its application to the Thron continued fractions,2020
Journal Article,"Armentia G,Gracia JM,Velasco FE",Nearest matrix with a prescribed eigenvalue of bounded multiplicities,2020
Journal Article,"Zhang L,Sun HW",Numerical solution for multi-dimensional Riesz fractional nonlinear reaction-diffusion equation by exponential Runge-Kutta method,2020
